text,original,tess,tess_match,smol,smol_match
4003GKC,False,L003GKCK,85.71428571428571,,0
4003GKC,False,Z00C3GKC1,28.57142857142857,,0
4003GKC,False,3EE3EE3E3VQEEEE3474D4EE4EE00EEEADEEEEAD2E1,14.285714285714285,,0
4003GKC,False,70KC3GL00,14.285714285714285,,0
4003GKC,False,H4KC0G03AO,0.0,,0
4003GKC,False,40003G6KCIAEE2E04V54E1I5C0,42.857142857142854,,0
4003GKC,False,0KC3G0LO,28.57142857142857,,0
4003GKC,False,CCK3GA0,28.57142857142857,,0
4022LXD,True,DXL220LD,14.285714285714285,,0
4037KMN,True,DXL220LD,14.285714285714285,,0
